/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-8g4q-xg66-9fp4
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-hh2w-p6rv-4g7w
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-8g4q-xg66-9fp4
/home/jolomoadmin/Internal/development/grandnode2/customer_extractor/address_formatter/AddressFormatter.csproj : warning NU1903: Package 'System.Text.Json' 8.0.3 has a known high severity vulnerability, https://github.com/advisories/GHSA-hh2w-p6rv-4g7w
CUSTOMER_NAME	Address	City	State	Zip
JOLOMO LLC	21 West 52nd Street	New York	OR	10021
JoLoMo LLC	629 SW Brockwood ave	Mcminnville	OR	97128
Love Buzz	5425 NE GLISAN ST PORTLAND, OR 97213	portland	OR	97213
Love Buzz	18032 NE AIRPORT WAY	Portland	OR	97230
Love Buzz	1915 NE Saratoga St	Portland	OR	97211
JoLoMo LLC	629 SW Brockwood ave	Mcminnville	OR	97128
JoLoMo LLC	123 W Street	Salem	OR	123456
JoLoMo LLC	124 ST	Salem	OR	987987498
Self made	Bbbbv	Ttttg	OR	97526
JoLoMo LLC	629 SW Brockwood ave	Mcminnville	OR	97128
Self Made Farm	2409 N Kerby ave	portland	OR	97227
Self Made Farm	18032 NE AIRPORT WAY	Portland	OR	97230
JoLoMo Software	435 SE Washington St	McMinnville	OR	97128
Substance	1814 NE DIVISION ST.	BEND	OR	97701
Substance	629 SW Brockwood ave	Mcminnville	OR	97128
Substance	20365 Empire Ave	bend	OR	97703
Substance	61406 S hwy 97	Bend	OR	97702
Substance	1749 E MCANDREWS RD	MEDFORD 	OR	97504-5508
Substance	3425 CRATER LAKE HWY	Medford	OR	97504-9292
Substance	1526 SISKIYOU BLVD	Ashland	OR	 97520-2406
Yachats Cannabis Company (DF)	430 N HWY 101	YACHATS	OR	97498
The Green Front Glisan	6834 NE GLISAN ST.	PORTLAND	OR	97213
Weedbucks Rogue River (DF)	204 MADRONE ST.	ROGUE RIVER	OR	97537
WeedAgain (Eugene)(DF)	86784 FRANKLIN BLVD UNIT A	EUGENE	OR	97405
WeedAgain (Eugene)(DF)	2390 Fairgrounds Rd NE	Salem	OR	97301
WeedAgain (Eugene)(DF)	2410 MISSION STREET SE SUITE 010	SALEM	OR	97302
WeedAgain (Eugene)(DF)	2674 Broadway Ave	North Bend	OR	97459
5th LMNT	385 SW Columbia St.	BEND	OR	97702
kaleafa	11821 NE GLISAN ST	PORTLAND	OR	97230
Uplift Botanicals	5421 NE 33RD AVE	PORTLAND	OR	97211
Eden	128 SE 12TH AVE.	PORTLAND	OR	97214
Top Shelf Wellness Center - Medford (DF)	1925 ELM ST	MEDFORD	OR	97501
Tsunami Marijuana LLC (DF)	36412 HWY 26	SEASIDE	OR	97138
Top Shelf Medicine (Newport) (DF)	657 SW COAST HWY	NEWPORT	OR	97365
Truth Dispensary	1735 LANCASTER DR. NE	SALEM	OR	97305
Trichome Farms	21920 SW Chapman Road	Sherwood	OR	97140
Top Shelf Medicine (DF)	815 NE GREENWOOD AVE	BEND	OR	97701
World Famous Top Shelf Cannabis (Gearhart) (DF)	3521 Highway 101 N	Gearhart	OR	97138
Greeley Gallery	6512 N GREELEY AVE	PORTLAND	OR	97217
The Medication Station (DF)	454 SW COAST HIGHWAY	NEWPORT	OR	97365
The Joint on Market st (DF)	3270 Market st	Salem	OR	97301
The Joint on Market st (DF)	2350 STATE ST	SALEM	OR	97301
The Green Remedy	12436 SE POWELL BLVD	PORTLAND	OR	97236
The Grass Hut II	4085 CHERRY AVENUE NE	KEIZER	OR	97303
The Canna Shoppe	6316 NE HALSEY ST	PORTLAND	OR	97213
The Holistic Choice (DF)	1045 COMMERCIAL ST SE	SALEM	OR	97302
Tangent Farmacy	32990 HWY 99E	TANGENT	OR	97389
Good Life (DF)	193 MARINE DRIVE	ASTORIA	OR	97103
The Bud House	115 NE 2ND ST	ONTARIO	OR	97914
The Bud House	115 NE 2nd St	Ontario	OR	97914
Cannabis Nation Sunriver	56789 LUNAR DRIVE	BEND	OR	97707
Sumpter Nugget (DF)	"160 N. MILL STREET	 SUITE #102"	OR	OR
American Cannabis Company (DF)	2131 W MAIN SUITE A	MEDFORD	OR	97501
Highway 420 (DF)	1803 S ROOSEVELT DR SUITE C	SEASIDE	OR	97138
BudMart (DF)	97900 SHOPPING CENTER AVE. SUITE #37	Brookings	OR	97415
Portland Pot shop	4730 N LOMBARD ST	PORTLAND	OR	97203
Southern Oregon Cannabis Connection - Medford (DF)	603 S Riverside Ave	Medford	OR	97501
Southern Oregon Cannabis Connection (DF)	1950 NE 7TH STREET	GRANTS PASS	OR	97526
Premium Choice Marijuana	1770 HWY 126	FLORENCE	OR	97439
Silver Creek Dispensary	307 E. MAIN STREET	SILVERTON	OR	97381
Gras Cannabis	621 SE 7TH AVE SUITE A	PORTLAND	OR	97214
cannabis nation	550 S ROOSEVELT DR	SEASIDE	OR	97138
Northwest compassion Medical Center	1970 NE 238TH DRIVE SUITE A & B	WOOD VILLAGE	OR	97060
SR Collective (DF)	26033 Salmon River Hwy	Willamina	OR	97396
Hippy Trip (DF)	249 S US-101	DEPOE BAY	OR	97341
The Bake Shop	3125B PORTLAND RD NE	SALEM	OR	97301
Ground Up (DF)	429 S CENTRAL AVENUE	MEDFORD	OR	97501
Cannabiz Experience (DF)	333 North Riverside Ave	Medford	OR	97501
Shango Premium Cannabis	8056 SE HAROLD ST	PORTLAND	OR	97206
Rocky Mount Dispensary (DF)	743 Main Street	John Day	OR	97845
Ripped City Greenz	15591 SE McLoughlin Blvd	MILWAUKIE	OR	97267
Truly Pure	1006 SE GRAND AVE SUITE 104	PORTLAND	OR	97214
Jenny's Dispensary	932 NE 3RD ST	BEND	OR	97701
Electric Lettuce Alberta	1313 NE ALBERTA ST	PORTLAND	OR	97211
Electric Lettuce Alberta	719 MAIN ST	OREGON CITY	OR	97045
Homegrown Oregon	2820 LIBERTY STREET NE	SALEM	OR	97301
Power Plant Salem	4340 COMMERCIAL ST NE SUITE 170	SALEM	OR	97302
Portland Canna Connection	1515 SE 46TH AVE	PORTLAND	OR	97215
Phresh Start Eugene (DF)	1055 BAILEY HILL RD STE. C & G	EUGENE	OR	97402
Phresh Start Eugene (DF)	1623 21ST ST STE B	SPRINGFIELD	OR	97477
Papa's Dispensary (DF)	214 N. REDWOOD HWY. SUITE E	CAVE JUNCTION	OR	97523
Pakalolo	1528 SE HOLGATE BLVD	PORTLAND	OR	97202
Pacific Green	710 NE KILLINGSWORTH STREET	PORTLAND	OR	97211
Oregon's Green Rush (DF)	2644 RIVER ROAD #5	EUGENE	OR	97404
Oregon Farmacy (DF)	1 WEST 6TH STREET SUITE 104	MEDFORD	OR	97501
Oregon Euphorics	70 SW CENTURY DR. SUITE #170	BEND	OR	97702
Cannabis Nation Oregon City	1128 MAIN ST	OREGON CITY	OR	97045
Canna Bros. (DF)	1210 W MAIN ST	SHERIDAN	OR	97378
Canna Bros. (DF)	2316 E PORTLAND RD SUITE C-2	NEWBERG	OR	97132
Canna Bros. (DF)	2440 MARTIN DR	STAYTON	OR	97383
Oregon Cannabis Co.	1977 SANTIAM HWY.	ALBANY	OR	97322
Ocean Grown Cannabis Company (DF)	1597 E VILAS ROAD EAST	MEDFORD	OR	97502
Oasis Cannabis (DF)	1111 S. Holladay Drive	Seaside	OR	97138
